task_id,completion
HumanEval/0,
HumanEval/1,"

if __name__ == ""__main__"":
    import doctest
    doctest.testmod()

    print(separate_paren_groups(""( ) (( )) (( )( ))""))
"
HumanEval/2,
HumanEval/3,
HumanEval/4,
HumanEval/5,"


if __name__ == ""__main__"":
    import doctest
    doctest.testmod()
    
    # 1.4
    print(intersperse([1, 2, 3], 4))
    # [1, 4, 2, 4, 3]

    # 1.5
    print(intersperse([1, 2, 3, 4, 5, 6, 7, 8, 9], 0))
    # [1, 0, 2, 0, 3, 0, 4, 0, 5, 0, 6, 0, 7, 0, 8, 0, 9]

    # 1.6
    print(intersperse([""a"", ""b"", ""c"", ""d""], "" ""))
    # ['a', ' ', 'b', ' ', 'c', ' ', 'd']

    # 1.7
    print(intersperse([""a"", ""b"", ""c"", ""d"", ""e"", ""f"", ""g""], "" ""))
    # ['a', ' ', 'b', ' ', 'c', ' ', 'd', ' ', 'e', ' ', 'f', ' ', 'g']

    # 1.8
    print(intersperse([""a"", ""b"", ""c"", ""d"", ""e"", ""f"", ""g"", ""h""], "" ""))
    # ['a', ' ', 'b', ' ', 'c', ' ', 'd', ' ', 'e', ' ', 'f', ' ', 'g', ' ', 'h']

    # 1.9
    print(intersperse([1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 0))
    # [1, 0, 2, 0, 3, 0, 4, 0, 5, 0, 6, 0, 7, 0, 8, 0, 9, 0, 10]

    # 1.10
    print(intersperse([1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], 0))
    # [1, 0, 2, 0, 3, 0, 4, 0, 5, 0, 6, 0, 7, 0, 8, 0, 9, 0, 10, 0, 11]

    # 1.11
    print(intersperse([1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], 0))
    # [1, 0, 2, 0, 3, 0, 4, 0, 5, 0, 6, 0, 7, 0, 8, 0, 9, 0, 10, 0, 11, 0, 12]

    # 1.12
    print(intersperse([1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], 0))
    # [1, 0, 2, 0, 3, 0, 4, 0, 5, 0, 6, 0, 7, 0, 8, 0, 9, 0, 10, 0, 11, 0, 12, 0, 13]

    # 1.13
    print(intersperse([1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14], 0))
    # [1, 0, 2, 0, 3, 0, 4, 0, 5, 0, 6, 0, 7, 0, 8, 0, 9,"
HumanEval/6,"
        else:
            count += 1

    return count


print(parse_nested_parens('(()()) ((())) () ((())()())'))
"
HumanEval/7,
HumanEval/8,"
    user_input = input(""Enter numbers separated by spaces: "").strip()
    list_input = [int(num) for num in user_input.split()]
    print(sum_product(list_input))
"
HumanEval/9,
HumanEval/10,"
  # The last element of the output must be a palindrome.


def longest_palindrome(string: str) -> str:
    """""" Find the longest palindrome in a string. """"""
    if not string:
        return ''
    longest = ''
    for i in range(len(string)):
        pali = make_palindrome(string[:i+1])[1]
        if len(pali) > len(longest):
            longest = pali
    return longest


# Test

assert longest_palindrome(''), ''
assert longest_palindrome('cata'), 'catac'
assert longest_palindrome('catac'), 'catac'
assert longest_palindrome('catacg'), 'catac'
assert longest_palindrome('catacag'), 'catacag'
assert longest_palindrome('geek'), 'ee'
assert longest_palindrome('geeks'), 'eeks'
assert longest_palindrome('geeksc'), 'eeksc'
assert longest_palindrome('geekscs'), 'eeksc'
assert longest_palindrome('geeksce'), 'eeksc'
assert longest_palindrome('geekscee'), 'eeksc'
assert longest_palindrome('geeksceee'), 'eeksc'


# Exercise 1: Write a Python program to calculate the sum of the two lowest positive numbers from a list of unsorted numbers.

def lowest_two(numbers):
    """""" Calculate the sum of the two lowest positive numbers in a list of numbers. """"""
    numbers.sort()
    return numbers[0] + numbers[1]


# Test

assert lowest_two([5, 4, 3, 2, 1]), 3
assert lowest_two([5, 9, 4, 3, 2, 1]), 7


# Exercise 2: Write a Python program to check if a list contains only positive numbers.

def all_positive(numbers):
    """""" Return True if all numbers are positive, otherwise False. """"""
    for num in numbers:
        if num < 0:
            return False
    return True


# Test

assert all_positive([1, 2, 3, 4, 5]), True
assert all_positive([1, -2, 3, 4, 5]), False
assert all_positive([1, 2, 3, 4, 5, 0]), False


# Exercise 3: Write a Python program to find whether a given string is palindrome or not.

def is_palindrome(string: str) -> bool:
    """""" Test if given string is a palindrome """"""
    return string == string[::-1]


# Test

assert is_palindrome(''), True
assert is_palindrome('catac'), True
assert is_palindrome('catacg'), False
assert is_palindrome('catacag'), False
assert is_palindrome('geek'), False
assert is_palindrome('geeks'), False
assert is_palindrome('geeksc'), True
assert is_palindrome('geekscs'), True
assert is_palindrome('geeksce'), True
assert is_palindrome('geeksceee'), True


# Exercise 4: Write a Python program to test whether a passed letter is a vowel or not.

def is_vowel(letter: str) -> bool:
    """""" Test if given letter is a vowel """"""
    return letter in 'aeiouAEIOU'


# Test

assert is_vowel('e'), True
assert is_vowel('E'), True
assert is_vowel('A'), False
assert is_vowel('1'), False


# Exercise 5: Write a Python function that takes two lists and returns True if they have at least one common member.

def common_member(list1, list2):
    """""" Test if given list1 and list2 have at least one common member. """"""
    return len(list(set(list1) & set(list2))) > 0


# Test

assert common_member([1, 2, 3, 4], [2, "
