task_id,completion,prompt
HumanEval/0,"    numbers_to_check = sorted(numbers)
    for i in range(len(numbers_to_check) - 1):
        if numbers_to_check[i + 1] - numbers_to_check[i] <= threshold:
            return True
    return False


if __name__ == ""__main__"":
    import doctest

    doctest.testmod(verbose=True)
","from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
"
HumanEval/1,"
    parens = []
     # Stack for keeping track of matching brackets. Initially stack will be empty.
    stack = []

    # Traverse through all characters of input string.
    print("""".join([x if x == "")"" else f""({x}"" for x in paren_string]))

    try:
        for i, ch in enumerate(list("""".join([x if x != "" "" else """" for x in paren_string] + ["")""] * len(stack)))):
            if ch == "")"":
                val = """"
                  ## Pop the top operator from stack
                while True:
                    op = stack.pop(-1)
                      ## Break when we find an opening bracket
                    if op == ""("": break
                    val += op
              ### Push the calculated result back to output queue
                parens.append(val)
            elif ch == ""("":
                stack.append(ch)
    except IndexError as e:
        pass
         # If stack is empty, then no valid expression can be formed
    assert len(stack) <= 0
    return parens
","from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """""" Input to this function is a string containing multiple groups of nested parentheses. Your goal is to
    separate those group into separate strings and return the list of those.
    Separate groups are balanced (each open brace is properly closed) and not nested within each other
    Ignore any spaces in the input string.
    >>> separate_paren_groups('( ) (( )) (( )( ))')
    ['()', '(())', '(()())']
    """"""
"
HumanEval/2,"    return number - int(number)


def is_pythagorean_triplet(a: int, b: int, c: int) -> bool:
    """""" Given three positive integers a, b and c,
    check if they form a Pythagorean triplet.

    Return True if they do, False otherwise.
    >>> is_pythagorean_triplet(3, 4, 5)
    True
    """"""
    return a**2 + b**2 == c**2


def is_pythagorean_triplet_2(a: int, b: int, c: int) -> bool:
    """""" Given three positive integers a, b and c,
    check if they form a Pythagorean triplet.

    Return True if they do, False otherwise.
    >>> is_pythagorean_triplet_2(3, 4, 5)
    True
    """"""
    return truncate_number(a**2 + b**2) == c**2


if __name__ == ""__main__"":
    import doctest
    doctest.testmod()
","

def truncate_number(number: float) -> float:
    """""" Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the decimal part of the number.
    >>> truncate_number(3.5)
    0.5
    """"""
"
HumanEval/3,"    balance = 0
    for operation in operations:
        balance += operation
        if balance < 0:
            return True
    return False


if __name__ == ""__main__"":
    import doctest

    doctest.testmod()
","from typing import List


def below_zero(operations: List[int]) -> bool:
    """""" You're given a list of deposit and withdrawal operations on a bank account that starts with
    zero balance. Your task is to detect if at any point the balance of account fallls below zero, and
    at that point function should return True. Otherwise it should return False.
    >>> below_zero([1, 2, 3])
    False
    >>> below_zero([1, 2, -4, 5])
    True
    """"""
"
HumanEval/4,"    numbers_mean = sum(numbers) / len(numbers)
    return sum([abs(x - numbers_mean) for x in numbers]) / len(numbers)


if __name__ == ""__main__"":
    import doctest
    doctest.testmod(verbose=True)
","from typing import List


def mean_absolute_deviation(numbers: List[float]) -> float:
    """""" For a given list of input numbers, calculate Mean Absolute Deviation
    around the mean of this dataset.
    Mean Absolute Deviation is the average absolute difference between each
    element and a centerpoint (mean in this case):
    MAD = average | x - x_mean |
    >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])
    1.0
    """"""
"
HumanEval/5,"    if len(numbers) == 0 or numbers is None:
        return []
    
    output = [(x := (i:=number)) for i in range(len(numbers))]
    # print('output:', output)
  
    result = []
    for index_inp, _ in enumerate(numbers):
        
       try:     
            nextElement=numbers[(index_inp+1)]
            
            currentElement = numbers[(index_inp)]
            prevElement= numbers[(index_inp-1)] 
           # print(""prev"", prevElement,""current"" , currentElement,""next"", nextElement )         


               
                   
            if (((index_inp + 1)>=len(numbers))) and ((index_inp - 1 >=0)):              
              if (currentElement!=nextElement):
               #print (""result after appending  "", (currentElement), ""and"", (nextElement))
                result.append(currentElement)
              
              elif(index_inp==(len(numbers)-1)):
                pass#print ('no need to append last element')
              else :
                continue;
                
                 
                  
            elif ((index_inp != 0)) & (currentElement < nextElement) & (nextElement > prevElement) :
               #print (""appending number "", currentElement)
                result.append(currentElement)
                result.append(delimeter)
            
            
            
            elif ((index_inp != 0))& (currentElement<nextElement)&(nextElement<= prevElement):
                break
           

            else:#if the element already exists in the list then we just add it without inserting new delimiter as it will be added by other iteration
              if not (any(i==currentElement for i in result)):
                result.append(currentElement)
                #print (""element alredy exits"")

              
                
       except Exception as e:
        raise ValueError(e)
    return result[:-1];
","from typing import List


def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """""" Insert a number 'delimeter' between every two consecutive elements of input list `numbers'
    >>> intersperse([], 4)
    []
    >>> intersperse([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
"
HumanEval/6,"
    # ----------------------Recursive Solution----------------------
    # def check_parentheses(inp):
    #     if len(inp) == 0 or inp[-1].isalnum():
    #         return None

    #     left = right = 0
    #     for char in reversed(list(inp)):
    #         if char == ')' and right < left:
    #             return False
    #         elif char != ')':
    #             break
    #         else:
    #             right += 1
    #     for i, val in enumerate(reversed([char for char in list(inp)])):
    #         if val == '(':
    #             left += 1
    #             if check_parentheses(inp[:i]) is not None:
    #                 return left + check_parentheses(inp[:i])
    #             else:
    #                 return left

    # res = []
    # splitted = paren_string.split("" "")
    # print(splitted)
    # for item in splitted:
    #     maxlevels = check_parentheses(item)
    #     if maxlevels is not None:
    #         res.append(maxlevels)
    #     else:
    #         res.append(-1)

    # return res

    # --------------Stack Based Solution---------------------------
    stack = []
    result = []
    count = 0

    for letter in paren_string:
        if letter == "")"" and len(stack) > 0:
            stack.pop()
            continue

        if letter == ""("":
            stack.append((letter))

    for elem in range(len(result), len(stack)+count+1):
        if elem % 2 == 0:
            pass
","from typing import List


def parse_nested_parens(paren_string: str) -> List[int]:
    """""" Input to this function is a string represented multiple groups for nested parentheses separated by spaces.
    For each of the group, output the deepest level of nesting of parentheses.
    E.g. (()()) has maximum two levels of nesting while ((())) has three.

    >>> parse_nested_parens('(()()) ((())) () ((())()())')
    [2, 3, 1, 3]
    """"""
"
HumanEval/7,"    return list(filter(lambda string: substring in string, strings))


if __name__ == ""__main__"":
    print(filter_by_substring([""abc"", ""bacd"", ""cde"", ""array""], ""a""))
","from typing import List


def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring
    >>> filter_by_substring([], 'a')
    []
    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')
    ['abc', 'bacd', 'array']
    """"""
"
HumanEval/8,"    sum_ = 0
    product = 1
    for num in numbers:
        sum_ += num
        product *= num
    return sum_, product


if __name__ == ""__main__"":
    import doctest

    doctest.testmod()
","from typing import List, Tuple


def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.
    Empty sum should be equal to 0 and empty product should be equal to 1.
    >>> sum_product([])
    (0, 1)
    >>> sum_product([1, 2, 3, 4])
    (10, 24)
    """"""
"
HumanEval/9,"    if len(numbers) < 2:
        return numbers

    max_numbers = [None] * len(numbers)
    max_numbers[0] = numbers[0]
    max_numbers[1] = max(numbers[0], numbers[1])

    for i in range(2, len(numbers)):
        max_numbers[i] = max(max_numbers[i - 1], numbers[i])

    return max_numbers


def find_smallest_missing_whole_number_in_list(numbers: List[int]) -> Tuple[int, int]:
    """""" Given a list of natural numbers, find the smallest missing whole number in the sequence.
    >>> find_smallest_missing_whole_number_in_list([1, 2, 3, 4, 5, 6, 7, 9])
    (8, 0)
    >>> find_smallest_missing_whole_number_in_list([1, 2, 4, 5, 6, 7, 8, 10, 11, 12])
    (9, 1)
    """"""
    if len(numbers) < 2:
        return numbers[0] + 1, 0

    max_numbers = rolling_max(numbers)
    max_number = max(max_numbers)
    max_index = max_numbers.index(max_number)
    min_number = numbers[max_index] + 1
    min_index = numbers.index(min_number)

    return min_number, min_index


def find_smallest_missing_whole_number_in_string(numbers: str) -> Tuple[int, int]:
    """""" Given a string of natural numbers, find the smallest missing whole number in the sequence.
    >>> find_smallest_missing_whole_number_in_string(""1, 2, 3, 4, 5, 6, 7, 9"")
    (8, 0)
    >>> find_smallest_missing_whole_number_in_string(""1, 2, 4, 5, 6, 7, 8, 10, 11, 12"")
    (9, 1)
    """"""
    numbers_as_list = numbers.split("", "")
    return find_smallest_missing_whole_number_in_list(numbers_as_list)


if __name__ == ""__main__"":
    import doctest

    doctest.testmod()
","from typing import List, Tuple


def rolling_max(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found until given moment
    in the sequence.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
"
